вариант       варп     замер     T_low   ошибка    ResMII   RecMII    T_high   в кор. связ.  
h8+c6           12    225.16    192.00   -14.7%     192.0     24.0    195.33      НЕТ TENSOR 
h8+c6           16    324.10    256.00   -21.0%     256.0     24.0    260.00      НЕТ TENSOR 
h8+c8            4    107.04     64.00   -40.2%      64.0     32.0     97.00      НЕТ TENSOR 
h8+c8            8    162.09    128.00   -21.0%     128.0     32.0    129.96      НЕТ TENSOR 
h8+c8           12    243.15    192.00   -21.0%     192.0     32.0    192.11      НЕТ TENSOR 
h8+c8           16    350.03    256.00   -26.9%     256.0     32.0    260.00      НЕТ TENSOR 
h8+c8+s4x64      4    117.05     64.00   -45.3%      64.0     32.0    111.00      НЕТ TENSOR 
h8+c8+s4x64      8    189.38    128.00   -32.4%     128.0     32.0    134.00      НЕТ TENSOR 
h8+c8+s4x64     12    295.73    192.00   -35.1%     192.0     32.0    204.00      НЕТ TENSOR 
h8+c8+s4x64     16    404.10    256.00   -36.6%     256.0     32.0    271.81      НЕТ TENSOR 
h8+c8x1          4    107.04     64.00   -40.2%      64.0     32.0     97.00      НЕТ TENSOR 
h8+c8x1          8    162.09    128.00   -21.0%     128.0     32.0    129.96      НЕТ TENSOR 
h8+c8x1         12    243.15    192.00   -21.0%     192.0     32.0    192.11      НЕТ TENSOR 
h8+c8x1         16    350.04    256.00   -26.9%     256.0     32.0    260.00      НЕТ TENSOR 
h8+c8x2          4    109.04     64.00   -41.3%      64.0     32.0    100.00      НЕТ TENSOR 
h8+c8x2          8    169.09    128.00   -24.3%     128.0     32.0    164.56      НЕТ TENSOR 
h8+c8x2         12    271.26    192.00   -29.2%     192.0     32.0    194.44      НЕТ TENSOR 
h8+c8x2         16    394.38    256.00   -35.1%     256.0     32.0    262.78      НЕТ TENSOR 
h8+f16           4     92.07     64.00   -30.5%      64.0     16.0     71.00      НЕТ TENSOR 
h8+f16           8    168.66    128.00   -24.1%     128.0     16.0    131.78      НЕТ TENSOR 
h8+f16          12    256.67    192.00   -25.2%     192.0     16.0    204.78      НЕТ TENSOR 
h8+f16          16    345.74    256.00   -26.0%     256.0     16.0    254.67      НЕТ TENSOR 
h8+f4            4     80.05     64.00   -20.0%      64.0     16.0     72.00      НЕТ TENSOR 
h8+f4            8    141.11    128.00    -9.3%     128.0     16.0    132.81      НЕТ TENSOR 
h8+f4           12    221.70    192.00   -13.4%     192.0     16.0    204.19      НЕТ TENSOR 
h8+f4           16    296.35    256.00   -13.6%     256.0     16.0    259.96      НЕТ TENSOR 
h8+f8            4     84.05     64.00   -23.9%      64.0     16.0     71.00      НЕТ TENSOR 
h8+f8            8    151.72    128.00   -15.6%     128.0     16.0    131.19      НЕТ TENSOR 
h8+f8           12    236.50    192.00   -18.8%     192.0     16.0    204.78      НЕТ TENSOR 
h8+f8           16    314.01    256.00   -18.5%     256.0     16.0    240.04      НЕТ TENSOR 
h8+f8+s4x64      4     91.11     64.00   -29.8%      64.0     16.0     84.00      НЕТ TENSOR 
h8+f8+s4x64      8    166.13    128.00   -23.0%     128.0     16.0    138.00      НЕТ TENSOR 
h8+f8+s4x64     12    249.22    192.00   -23.0%     192.0     16.0    201.00      НЕТ TENSOR 
h8+f8+s4x64     16    338.43    256.00   -24.4%     256.0     16.0    266.93      НЕТ TENSOR 
h8+i1            4     79.04     64.00   -19.0%      64.0     16.0     70.00      НЕТ TENSOR 
h8+i1            8    132.09    128.00    -3.1%     128.0     16.0    133.89       да TENSOR 
h8+i1           12    208.09    192.00    -7.7%     192.0     16.0    196.89      НЕТ TENSOR 
h8+i1           16    276.32    256.00    -7.4%     256.0     16.0    262.67      НЕТ TENSOR 
h8+i12           4     92.04     64.00   -30.5%      64.0     16.0     72.00      НЕТ TENSOR 
h8+i12           8    173.36    128.00   -26.2%     128.0     16.0    135.19      НЕТ TENSOR 
h8+i12          12    252.39    192.00   -23.9%     192.0     16.0    204.00      НЕТ TENSOR 
h8+i12          16    337.66    256.00   -24.2%     256.0     16.0    164.30      НЕТ TENSOR 
h8+i16           4     96.05     64.00   -33.4%      64.0     16.0     72.00      НЕТ TENSOR 
h8+i16           8    176.11    128.00   -27.3%     128.0     16.0    155.93      НЕТ TENSOR 
h8+i16          12    267.72    192.00   -28.3%     192.0     16.0    204.00      НЕТ TENSOR 
h8+i16          16    356.27    256.00   -28.1%     256.0     16.0    160.89      НЕТ TENSOR 
h8+i2            4     79.04     64.00   -19.0%      64.0     16.0     70.00      НЕТ TENSOR 
h8+i2            8    138.09    128.00    -7.3%     128.0     16.0    130.63      НЕТ TENSOR 
h8+i2           12    215.54    192.00   -10.9%     192.0     16.0    197.52      НЕТ TENSOR 
h8+i2           16    288.26    256.00   -11.2%     256.0     16.0    259.81      НЕТ TENSOR 
h8+i24           4    101.05     64.00   -36.7%      64.0     16.0     70.00      НЕТ TENSOR 
h8+i24           8    176.09    128.00   -27.3%     128.0     16.0    110.04      НЕТ TENSOR 
h8+i24          12    277.60    192.00   -30.8%     192.0     16.0    199.56      НЕТ TENSOR 
